0,2U INC,1459417
1,30DC INC,1118974
2,3D PIONEER SYSTEMS INC,1556753
3,8X8 INC,1023731
4,A10 NETWORKS INC,1580808
5,ACI WORLDWIDE INC,935036
6,ACTUA CORP,1085621
7,ADEXA INC,1119691
8,ADOBE INC,796343
9,ADVANTE CORP,1407847
10,ADVANTEGO CORP,869531
11,AGILYSYS INC,78749
12,ALARMCOM HOLDINGS INC,1459200
13,ALLDIGITAL HOLDINGS INC,1389217
14,ALTAIR ENGINEERING INC,1701732
15,ALTERYX INC,1689923
16,ANAPLAN INC,1540755
17,ANSYS INC,1013462
18,APPFOLIO INC,1433195
19,APPIAN CORP,1441683
20,APPLIED VISUAL SCIENCES INC,873198
21,APT SYSTEMS INC,1543739
22,ASANA INC,1477720
23,ASPEN TECHNOLOGY INC,356942
24,ASURE SOFTWARE INC,884144
25,AUDIOEYE INC,1362190
26,AUTODESK INC,769397
27,AVALARA INC,1348036
28,AWARE INC,845188
29,BARRACUDA NETWORKS INC,1348334
30,BENEFITFOCUS INC,1576169
31,BENTLEY SYSTEMS INC,1031308
32,BILLCOM HOLDINGS INC,1786352
33,BLACK BOX CORP,849547
34,BLACKBAUD INC,1280058
35,BLACKBOXSTOCKS INC,1567900
36,BLACKLINE INC,1666134
37,BOTTOMLINE TECHNOLOGIES INC,1073349
38,BOX INC,1345423
39,BOXLIGHT CORP,1624512
40,BRAVATEK SOLUTIONS INC,1449574
41,BRIDGELINE DIGITAL INC,1378590
42,BRIDGEWAY NATIONAL CORP,1567771
43,BSCADA INC,1341878
44,CADENCE DESIGN SYSTEMS INC,813672
45,CDK GLOBAL INC,1609702
46,CERENCE INC,1768267
47,CERIDIAN CORP,109758
48,CHANNELADVISOR CORP,1169652
49,CICERO INC,945384
50,CIMETRIX INC,786620
51,CIPHERLOC CORP,1022505
52,CITRIX SYSTEMS INC,877890
53,CLEANSPARK INC,827876
54,CLICKSTREAM CORP,1393548
55,CLONE ALGO TECHNOLOGIES INC,1582589
56,CLOUDERA INC,1535379
57,CLOUDFLARE INC,1477333
58,CODE REBEL CORP,1613011
59,COMMVAULT SYSTEMS INC,1169561
60,CORNERSTONE ONDEMAND INC,1401680
61,COUPA SOFTWARE INC,1385867
62,CROWDSTRIKE HOLDINGS INC,1535527
63,CYBERFORT SOFTWARE INC,1522787
64,CYREN LTD,1084577
65,DATADOG INC,1561550
66,DATTO HOLDING CORP,1724570
67,DEALERADVANCE INC,1133598
68,DIGILITI MONEY GROUP INC,1487906
69,DIGIMARC CORP,1089443
70,DIGITAL TURBINE INC,317788
71,DOCUSIGN INC,1261333
72,DOMO INC,1505952
73,DROPBOX INC,1467623
74,DYNATRACE INC,1773383
75,E2OPEN INC,1540400
