,2021-2020,2020-2019,2019-2018,2018-2017,2017-2016,2016-2015,2015-2014,2014-2013,2012-2011,2013-2012
YAPPN CORP,,1775580.0,57920.0,-81360.0,111840.0,6720.0,,,,
WORKDAY INC,915750.0,633530.0,649370.0,428240.0,293790.0,,,,,
WORKIVA INC,208490.0,-263790.0,656050.0,312640.0,-504860.0,,,,,
XPERI HOLDING CORP,,-1366130.0,346880.0,,,,,,,
ZOOMINFO TECHNOLOGIES,,10000.0,95000.0,,,,,,,
ZOOM TELEPHONICS INC,2536310.0,-389460.0,-1600610.0,498630.0,-1032970.0,,,,,
XCELMOBILITY INC,,163980.0,-20810.0,-152280.0,-229820.0,,,,,
ZOOM VIDEO COMUNICATIONS INC,6471520.0,65290.00000000001,110000.0,,,,,,,
VERB TECHNOLOGY CO INC,,-89030.0,-80420.0,-30870.0,-15658.47,,,,,
VERINT SYSTEMS INC,208490.0,-263790.0,656050.0,312640.0,-504860.0,,,,,
VIRNETX HOLDING CORP,,1775580.0,57920.0,-81360.0,111840.0,6720.0,,,,
VERTEX INC,,-1366130.0,346880.0,,,,,,,
VIVA ENTERTAINMENT GROUP INC,,4930.0,-187120.0,,,,,,,
VEEVA SYSTEMS INC,915750.0,633530.0,649370.0,428240.0,293790.0,,,,,
VUBOTICS INC,,-24280.0,-468520.0,-157160.0,20970.0,33800.0,,,,
VMWARE INC CL A,,,,,,,,,,
VERITONE INC,,163980.0,,,,,,,,
VOYAGER DIGITAL LTD,,,,,,,,,,
TENABLE HOLDINGS INC,,543660.0,-182180.0,,,,,,,
TAUTACHROME INC,,-4535.35,14483.06,,,,,,,
VARONIS SYSTEMS INC,,-24280.0,-468520.0,-157160.0,20970.0,33800.0,,,,
TYLER TECHNOLOGIES INC,,165590.0,38750.0,-102660.0,251020.0,232620.0,,,,
UPLAND SOFTWARE INC,,4930.0,-187120.0,,,,,,,
TRADE DESK INC,,,,,,,,,,
TWILIO INC,,-1231160.0,-2545500.0,-491610.0,-247590.0,-59220.0,,,,
VDOPH INTERNATIONAL INC,,,,,,,,,,
THEGLOBECOM INC,,593.92,1198.87,333.67,25.81,,,,,
UNITY SOFTWARE INC,,-1241430.0,-203680.0,,,,,,,
SPS COMMERCE INC,,117520.0,116750.0,,,,,,,
SONIC FOUNDRY INC,710.0,32439.999999999996,135310.0,-114810.0,,,,,,
SPLUNK INC,-4930490.0,-359640.0,-657630.0,1506920.0,-559080.0,,,,,
SPROUT SOCIAL INC,,,,,,,,,,
SVMK INC,,-151380.0,600500.0,-1056910.0,137010.0,,,,,
SYNOPSYS INC,1146490.0,999100.0,1600060.0,126620.0,301680.0,,,,,
SNOWFLAKE INC,-1858490.0,-1726230.0,,,,,,,,
SYNCHRONOSS TECHNOLOGIES,,596660.0,564880.0,-346740.0,-69980.0,,,,,
SUMO LOGIC INC,154360000.0,-449220000.0,,,,,,,,
SERVICENOW INC,,1567400.0,845490.0,219700.0,,,,,,
SHARPSPRING INC,,29479.37,-13988.29,-18809.96,7388.39,,,,,
SLACK TECHNOLOGIES INC,3051940.0,-4340700.0,,,,,,,,
SMITH MICRO SOFTWARE INC,,-65840.0,113190.0,44600.0,102310.0,-133670.0,,,,
SEACHANGE INTERNATIONAL INC,-126370.0,269190.0,-303930.0,487360.0,-59470.0,,,,,
SALESFORCECOM INC,1580000.0,-2380000.0,810000.0,1715400.0,-506950.0,,,,,
SECUREWORKS CORP,193390.0,-34420.0,212490.0,-170920.0,400550.0,,,,,
SMARTSHEET INC,-166980.0,-486900.0,-61060.0,,,,,,,
SMARTMETRIC INC,,,,,,,,,,
SHOTSPOTTER INC,,-3020.0,41630.0,17650.0,6390.0,5480.0,,,,
RINGCENTRAL INC,,-675640.0,-292390.0,-110980.0,,,,,,
RAND WORLDWIDE INC,,,,,,,-16690.0,28790.0,,
REALNETWORKS INC,,220400.0,,,,,,,,
ROSETTA STONE INC,,,66810.0,-151180.0,224190.0,168930.0,350370.0,-604080.0,225920.0,-131760.0
RIOT BLOCKCHAIN INC,,-92350.0,492840.0,-462110390.0,-79584790.0,,,,,
RAPID7 INC,,-281040.0,70430.0,-42440.0,2550.0,-24890.0,,,,
SAILPOINT TECHNO HLDG,,103100.0,-203460.0,9700.0,72140.0,,,,,
RIGHTSCORP INC,,,,,,26854.84,80358.27,-15880.46,,-518.2
REALPAGE INC,,,,,,,,,,
ROCKETFUEL BLOCKCHAIN INC,-22385.43,12069.08,,,-270.0,,-2290.0,,,
Q2 HOLDINGS INC,,-330870.0,-348960.0,-49430.0,88110.0,-108780.0,,,,
QUMU CORP,,-19940.0,16030.000000000002,19580.0,24900.0,180430.0,,,,
QAD INC,183860.0,-152610.0,126470.0,-64379.99999999999,-68070.0,,,,,
PTC INC,1698850.0,1478210.0,-95710.0,323390.0,779120.0,,,,,
QUALYS INC,,244010.0,218920.0,131180.0,71360.0,53010.0,,,,
PLURALSIGHT INC,,67020.0,-132880.0,-539560.0,-689030.0,,,,,
PROOFPOINT INC,,97350.0,-32200.000000000004,-467820.0,159310.0,-74310.0,,,,
PROS HOLDINGS INC,,-127420.0,-41230.0,157280.0,4550.0,-99010.0,,,,
PAYBOX CORP,,,,,,-8870.0,4710.0,-260.0,,-1760.0
PEGASYSTEMS INC,,-86490.0,-1178460.0,-1102090.0,,,,,,
PARETEUM CORP,,1795280.0,-1942600.0,-58555.06,101154950.0,,,,,
PAYCOM SOFTWARE INC,,,,,,,,,,
PARK CITY GROUP INC,14143.88,-25112.77,4724.4,-3842.8,,,,,,
PING IDENTITY HOLDING CORP,,-340180.0,-85290.0,-83940.0,,,,,,
PALO ALTO NETWORKS INC,-1251000.0000000002,-1249000.0,501000.0,616000.0000000001,,,,,,
PAID INC,,-14194.41,109433.6,-109646.41,-2360.42,,,,,
PAYLOCITY HOLDING CORP,-81280.0,99470.0,402750.0,86530.0,108460.0,,,,,
PAYCHEX INC,2000.0000000004545,892000.0000000005,797999.9999999997,479000.00000000093,930000.0,,,,,
NEW RELIC INC,-859110.0,-523830.00000000006,137020.0,145350.0,62950.0,,,,,
OBLONG INC,,-24900.0,-8340.0,-43730.0,-2820.0,,,,,
NUTANIX INC,1681390.0,-2308800.0,,,,,,,,
NEOMEDIA TECHNOLOGIES INC,,,,,,,,-2.29,,2.29
NUANCE COMMUNICATIONS INC,240690.0,54210.0,2914710.0,-1389130.0,-865540.0,,,,,
PAGERDUTY INC,-107230.0,-132380.0,-40050.0,,,,,,,
NORTONLIFELOCK INC,5410000.0,1970000.0,3310000.0,1490000.0,-5570000.0,,,,,
ONESPAN INC,,-194470.0,152510.0,-61680.0,-34070.0,-408540.0,,,,
NETSOL TECHNOLOGIES INC,16505.11,-57575.74,37730.01,40561.25,,,,,,
OKTA INC,-183270.0,-662100.0,-77700.0,-332390.0,-71350.0,,,,,
MGT CAPITAL INVESTMENTS INC,,46300.0,164220.0,-23150.0,-13720.0,,,,,
MOBILEIRON INC,,,-52140.0,103470.0,114490.0,170130.0,-222860.0,-292210.0,,159580.0
MONGODB INC,-614380.0,-501010.0,-128840.0,-113200.0,-132090.0,,,,,
MICROSOFT CORP,169570000.0,100000000.0,79010000.0,60330000.0,29470000.0,,-95980000.0,9950000.0,,50010000.0
MICROSTRATEGY INC,,-126230.0,-49830.0,-692410.0,-332700.0,-263970.0,,,,
MIX TELEMATICS LTD,-28500.0,-32430.0,81250.0,,,,,,,
MITEK SYSTEMS INC,44090.0,134580.0,32159.999999999996,-105750.0,9450.0,,,,,
