Company,Sep 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,May 2014,Jun 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Mar 2015,May 2015,Jun 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Mar 2016,May 2016,Jun 2016,Aug 2016,Sep 2016,Nov 2016,Dec 2016,Jan 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Mar 2018,Apr 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Dec 2018,Jan 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Dec 2020,Jan 2021,Mar 2021,Apr 2021,Jun 2021,Jul 2021,Sep 2021,Oct 2021
2U INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64829000.0,,,64995000.0,,,70250000.0,,,,,92288000.0,,97423000.0,,,106963000.0,,,,122234000.0,,,135461000.0,,,153798000.0,,,,,175479000.0,,,182687000.0,,,201073000.0,,,,232473000.0,,237209000.0,,232376000.0,
30DC INC,,,,,,,,,,603244.0,,,49583.0,43689.0,,,,67905.0,,,227855.0,118618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201073000.0,,,,,,,,232376000.0,
3D PIONEER SYSTEMS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8X8 INC,,,,,,,,,,,,,,43689.0,,,,,,,,118618.0,,,,,,63676000.0,,,,,69098000.0,,,,,,75575000.0,,,,83225000.0,,,85682000.0,,89912000.0,,,,,96675000.0,,,109517000.0,,118567000.0,,,,,,121807000.0,,,129133000.0,,136685000.0,,,,148327000.0,,151557000.0,
A10 NETWORKS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63934000.0,,,53973000.0,,,62005000.0,,,,,49183000.0,,60713000.0,,,60502000.0,,,,50290000.0,,,49189000.0,,,52833000.0,,,,,53764000.0,,,52500000.0,,,56608000.0,,,,54843000.0,,59168000.0,,65360000.0,
ACI WORLDWIDE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231462000.0,,,240599000.0,,,225735000.0,,,,,209310000.0,,234995000.0,,,245525000.0,,,,205855000.0,,,297618000.0,,,354901000.0,,,,,291485000.0,,,299910000.0,,,315883000.0,,,,285186000.0,,301669000.0,,316914000.0,
ACTUA CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234995000.0,,,,,,,,,,297618000.0,,,,,,,,,,,,,,,,,,,,,,,
ADEXA INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195360000.0,,2291076000.0,,,,,2601000000.0,,2744000000.0,,,2834000000.0,,,,,3128000000.0,,,3128000000.0,,,3225000000.0,,,,,3905000000.0,,3835000000.0,,3935000000.0,
ADVANCED VOICE RECOGNITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANTE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANTEGO CORP,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430.0,,,9420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGILYSYS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,33448000.0,,,,,33865000000.0,,,30129000.0,,,31310000.0,,,,34007000.0,,,34203000.0,,36014000.0,,,,,38389000.0,,,40722000.0,,41987000.0,,,,,,29807000.0,,,34360000.0,,36675000.0,,,,38725000.0,,37892000.0,
